node_type_id model_type ei model_template morphology pop_name model_processing dynamics_params
137 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_K_T.json
138 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_Im_v2.json
139 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_Ca_HVA.json
140 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit.json
141 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_Kv3_1.json
142 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_Kd.json
143 biophysical i ctdb:Biophys1.hoc Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst aibs_axon 473540161_fit_Ih.json
144 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_NaTs.json
145 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_Ih.json
146 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_Nap.json
147 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_Ca_HVA.json
148 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit.json
149 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_Ca_LVA.json
150 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_SK.json
151 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_Im.json
152 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_Kv3_1.json
153 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_K_P.json
154 biophysical e ctdb:Biophys1.hoc Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1 aibs_axon 386049446_fit_K_T.json
155 biophysical e ctdb:Biophys1.hoc Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb aibs_axon 485836906_fit_Kv3_1.json
