node_type_id model_template model_type model_processing dynamics_params ei morphology pop_name
137 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_Ca_LVA.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
138 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_Ca_HVA.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
139 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_Kv2like.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
140 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_SK.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
141 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_g_pas.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
142 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_Kv3_1.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
143 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
144 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_K_T.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
145 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_Kd.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
146 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_Ih.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
147 ctdb:Biophys1.hoc biophysical aibs_axon 473540161_fit_NaV.json i Sst-IRES-Cre_Ai14-182533.03.01.01_491770708_m.swc i23Sst
148 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_SK.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
149 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_Im.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
150 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
151 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_K_P.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
152 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_NaTs.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
153 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_Ca_HVA.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
154 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_Ih.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
155 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_Nap.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
156 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_K_T.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
157 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_Kv3_1.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
158 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_g_pas.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
159 ctdb:Biophys1.hoc biophysical aibs_axon 386049446_fit_Ca_LVA.json e Nr5a1-Cre_Ai14-177334.05.01.01_491459171_m.swc e4Nr5a1
160 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_K_T.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
161 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_Im_v2.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
162 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_SK.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
163 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_NaV.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
164 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_Kv3_1.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
165 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_g_pas.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
166 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_Ih.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
167 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_Kd.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
168 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_Ca_LVA.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
169 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_Kv2like.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
170 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit_Ca_HVA.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
171 ctdb:Biophys1.hoc biophysical aibs_axon 485836906_fit.json e Rorb-IRES2-Cre-D_Ai14-204764.04.01.01_496001039_m.swc e4Rorb
172 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_Ca_LVA.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
173 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_SK.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
174 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_Im.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
175 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_Nap.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
176 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_K_T.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
177 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_Ca_HVA.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
178 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_g_pas.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
179 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_Kv3_1.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
180 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_Ih.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
181 ctdb:Biophys1.hoc biophysical aibs_axon 469798159_fit_K_P.json e Scnn1a-Tg3-Cre_Ai14-180214.05.01.01_491253802_m.swc e4Scnn1a
